,Unnamed: 0,id,host_is_superhost,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,review_scores_rating,reviews_per_month,amenities_count,host_listings_count,instant_bookable,reviews_per_month.1,price,predicted
1517,6116,13216610,0,1,3.0,3.0,2,14,91.0,0.28,22,88.0,1,0.28,155,221.22306987036535
1518,6119,13230269,0,0,0.0,1.0,2,4,95.0,0.08,7,1.0,0,0.08,75,88.70652773092785
1519,6121,13234628,0,0,1.0,1.0,2,0,0.0,0.0,11,1.0,0,0.0,80,122.47882420550891
1520,6125,13240846,0,1,2.0,2.0,4,14,96.0,0.29,12,1.0,0,0.29,130,182.93232953959426
1521,6129,13245827,0,0,2.0,4.0,4,3,100.0,0.13,17,1.0,1,0.13,250,186.5716930413967
1522,6130,13246076,0,0,1.0,1.0,2,0,0.0,0.0,8,1.0,0,0.0,100,118.17859229689147
1523,6139,13256611,0,1,3.0,4.0,5,5,100.0,0.1,26,1.0,0,0.1,199,245.48085631619148
1524,6148,13263353,0,1,1.0,2.0,2,5,100.0,0.1,9,1.0,0,0.1,60,111.00798072298106
1525,6149,13266043,0,0,1.0,1.0,2,5,88.0,0.09,9,5.0,0,0.09,31,114.63714759428291
1526,6154,13272633,1,1,2.0,2.0,4,118,92.0,2.23,17,0.0,1,2.23,120,169.0299419967281
1527,6156,13277635,0,0,1.0,1.0,2,2,100.0,0.04,5,1.0,0,0.04,104,106.06249978477142
1528,6158,13280367,0,0,1.0,1.0,1,21,94.0,0.4,18,1.0,0,0.4,61,97.08318402606842
1529,6160,13285822,0,0,1.0,1.0,2,4,95.0,0.08,20,1.0,0,0.08,126,127.54689334042183
1530,6162,13285919,0,0,3.0,4.0,4,7,100.0,0.14,16,1.0,1,0.14,175,205.0241927642225
1531,6172,13294936,0,1,2.0,2.0,4,11,96.0,0.21,25,1.0,0,0.21,229,202.29204969766096
1532,6173,13295511,0,0,1.0,1.0,2,10,96.0,0.19,9,1.0,0,0.19,105,110.59605546245271
1533,6184,13308006,1,1,2.0,2.0,3,107,98.0,2.03,21,1.0,0,2.03,89,152.06917892642966
1534,6188,13309733,0,0,3.0,4.0,4,5,76.0,0.1,8,1.0,0,0.1,122,195.3191158814215
