,beds,accommodates,price
990,1.0,2,$105.00
991,0.0,2,$125.00
992,2.0,2,$60.00
993,0.0,2,$95.00
994,1.0,2,$220.00
995,3.0,4,$169.00
996,2.0,4,$175.00
997,2.0,3,$128.00
998,1.0,2,$100.00
999,1.0,2,$115.00
1000,1.0,2,$150.00
1001,4.0,4,$75.00
1002,1.0,2,$200.00
1003,2.0,4,$150.00
1004,4.0,4,$300.00
1005,6.0,6,$130.00
1006,2.0,4,$230.00
1007,3.0,3,$150.00
1008,1.0,2,$70.00
1009,2.0,4,$160.00
1010,1.0,2,$240.00
1011,3.0,5,$336.00
1012,1.0,2,$50.00
1013,2.0,4,$149.00
1014,1.0,2,$250.00
1015,1.0,2,$59.00
1016,1.0,2,$119.00
1017,1.0,4,$79.00
1018,1.0,2,$150.00
1019,2.0,3,$130.00
1020,1.0,2,$130.00
1021,4.0,4,$225.00
1022,3.0,4,$275.00
1023,1.0,2,$126.00
1024,2.0,4,$193.00
1025,2.0,4,$350.00
1026,1.0,2,$99.00
1027,2.0,3,$130.00
1028,1.0,2,$129.00
1029,1.0,2,$80.00
1030,1.0,3,$75.00
1031,1.0,2,$115.00
1032,1.0,2,$161.00
1033,1.0,1,$49.00
1034,3.0,4,$220.00
1035,1.0,2,$106.00
1036,1.0,2,$160.00
1037,1.0,2,$110.00
1038,4.0,4,$100.00
1039,1.0,2,$87.00
1040,1.0,2,$250.00
1041,1.0,2,$70.00
1042,1.0,2,$250.00
1043,1.0,2,$120.00
1044,1.0,2,$87.00
1045,2.0,4,$148.00
1046,1.0,2,$135.00
1047,1.0,2,$99.00
1048,10.0,10,$390.00
1049,1.0,2,$99.00
1050,1.0,2,$214.00
1051,4.0,4,$85.00
1052,1.0,2,$85.00
1053,24.0,16,$557.00
1054,0.0,16,$520.00
1055,3.0,6,$166.00
1056,2.0,4,$164.00
1057,2.0,3,$70.00
1058,1.0,2,$75.00
1059,1.0,2,$115.00
1060,1.0,2,$150.00
1061,1.0,2,$68.00
1062,1.0,2,$120.00
1063,1.0,2,$110.00
1064,1.0,2,$170.00
